Approval Timeline For Pending Requests
Rate Request ID,Request Date,Origin Airport,Dest Airport,Current Approver,Cheng Swee Nian,Chetan Makadia,Connie Chau2,Dharmesh Mistry,Jamshed Sultan,Julio Magallanes,Lin Luo,Patricia Pinheiro,Wilson Lee BT,Request Type,Total
632,4/27/2011 2:17:42 PM,HKG,SMF,Jamshed Sultan,13,,1,,322,,,,,AIR,336
644,5/9/2011 2:21:54 PM,KUL,WRO,Jamshed Sultan,,,,,314,,,,10,AIR,324
645,5/9/2011 3:18:24 PM,KUL,SEA,Jamshed Sultan,,,,,314,,,,10,AIR,324
646,5/9/2011 3:44:08 PM,KUL,YYZ,Julio Magallanes,,,,,246,68,,,10,AIR,324
647,5/10/2011 12:03:55 PM,KUL,NGO,Jamshed Sultan,,,,,314,,,,9,AIR,323
648,5/10/2011 12:11:20 PM,KUL,SZV,Jamshed Sultan,,,,,314,,,,9,AIR,323
649,5/10/2011 12:22:25 PM,KUL,ELP,Jamshed Sultan,,,,,314,,,,9,AIR,323
650,5/10/2011 12:47:13 PM,BKK,SFO,Jamshed Sultan,,,,,314,,,,9,AIR,323
651,5/10/2011 6:13:38 PM,KUL,AMS,Jamshed Sultan,,,,,314,,,,9,AIR,323
652,5/11/2011 12:01:09 PM,KUL,PVG,Jamshed Sultan,,,,,314,,,,8,AIR,322
653,5/11/2011 12:14:05 PM,KUL,AMS,Jamshed Sultan,,,,,314,,,,8,AIR,322
654,5/11/2011 2:27:47 PM,KUL,DEL,Jamshed Sultan,,,,,314,,,,8,AIR,322
655,5/11/2011 2:37:10 PM,KUL,BOM,Jamshed Sultan,,,,,314,,,,8,AIR,322
656,5/11/2011 5:07:36 PM,BKK,LAX,Jamshed Sultan,,,,,314,,,,8,AIR,322
657,5/11/2011 5:56:44 PM,BKK,AMS,Jamshed Sultan,,,,,314,,,,8,AIR,322
658,5/12/2011 9:25:58 AM,BKK,HKG,Jamshed Sultan,,,,,321,,,0,,AIR,321
659,5/12/2011 9:37:34 AM,BKK,LAX,Jamshed Sultan,,,,,321,,,0,,AIR,321
660,5/12/2011 11:06:49 AM,PEN,YYZ,Jamshed Sultan,,,,,314,,,,7,AIR,321
661,5/13/2011 9:35:49 AM,BKK,VCP,Jamshed Sultan,,,,,320,,,0,,AIR,320
662,5/13/2011 12:00:17 PM,BKK,HUZ,Jamshed Sultan,,,,,320,,,0,,AIR,320
664,5/13/2011 2:57:37 PM,BKK,HKG,Jamshed Sultan,,,,,320,,,0,,AIR,320
665,5/13/2011 3:22:12 PM,BKK,MFE,Jamshed Sultan,,,,,320,,,0,,AIR,320
666,5/13/2011 5:00:11 PM,BKK,MFE,Jamshed Sultan,,,,,320,,,0,,AIR,320
667,5/13/2011 5:02:26 PM,BKK,IAH,Jamshed Sultan,,,,,320,,,0,,AIR,320
668,5/13/2011 5:04:08 PM,BKK,AMS,Jamshed Sultan,,,,,320,,,0,,AIR,320
670,5/13/2011 6:28:14 PM,HKG,XMN,Jamshed Sultan,3,,,,317,,,,,AIR,320
671,5/14/2011 9:45:45 AM,KUL,AMS,Jamshed Sultan,,,,,314,,,,5,AIR,319
672,5/14/2011 10:31:15 AM,KUL,LAX,Jamshed Sultan,,,,,314,,,,5,AIR,319
673,5/14/2011 1:54:07 PM,KUL,SFO,Jamshed Sultan,,,,,314,,,,5,AIR,319
674,5/14/2011 2:29:38 PM,KUL,PVG,Jamshed Sultan,,,,,314,,,,5,AIR,319
675,5/14/2011 2:36:20 PM,KUL,SZV,Jamshed Sultan,,,,,314,,,,5,AIR,319
676,5/14/2011 2:47:07 PM,KUL,BRO,Jamshed Sultan,,,,,314,,,,5,AIR,319
677,5/16/2011 10:27:20 AM,PVG,XMN,Jamshed Sultan,44,,,,273,,,,,AIR,317
678,5/16/2011 11:57:42 AM,KUL,SZV,Jamshed Sultan,,,,,314,,,,3,AIR,317
679,5/16/2011 2:12:21 PM,KUL,SMF,Jamshed Sultan,,,,,315,,,,2,AIR,317
680,5/16/2011 7:38:17 PM,CKG,KUL,Jamshed Sultan,,,,,183,,0,,,AIR,183
681,5/18/2011 2:07:59 PM,BKK,SEA,Jamshed Sultan,,,,,315,,,0,,AIR,315
682,5/18/2011 2:23:34 PM,BKK,AMS,Jamshed Sultan,,,,,315,,,0,,AIR,315
683,5/19/2011 2:10:34 PM,BKK,ICN,Jamshed Sultan,,,,,314,,,0,,AIR,314
684,5/19/2011 4:40:18 PM,BKK,CKG,Jamshed Sultan,,,,,313,,,1,,AIR,314
685,5/19/2011 5:20:46 PM,BKK,CKG,Jamshed Sultan,,,,,313,,,1,,AIR,314
686,5/20/2011 12:12:25 PM,KUL,AMS,Jamshed Sultan,,,,,312,,,,1,AIR,313
687,5/20/2011 11:52:25 AM,BKK,PHX,Jamshed Sultan,,,,,313,,,0,,AIR,313
688,5/23/2011 11:31:11 AM,KUL,IST,Jamshed Sultan,,,,,309,0,,,1,AIR,310
698,6/13/2011 3:50:11 PM,123,1,Dharmesh Mistry,,,,289,,,,,,AIR,289
699,6/15/2011 11:29:44 AM,123,1,Dharmesh Mistry,,,,287,,,,,,AIR,287
700,6/21/2011 3:28:15 PM,PUN,MUM,Dharmesh Mistry,,,,281,,,,,,AIR,281
701,6/21/2011 3:38:24 PM,123,123,Jamshed Sultan,12,,,,273,,,,,AIR,285
704,7/4/2011 8:24:54 AM,12,121,Wilson Lee BT,,,,,250,4,,,,AIR,254
705,8/3/2011 4:29:28 AM,1,1,Dharmesh Mistry,,,,238,,,,,,OCEAN,238
706,8/4/2011 9:23:37 AM,PEN,SFO,Dharmesh Mistry,,,,237,,,,,,AIR,237
712,8/10/2011 1:24:39 AM,1,1,Julio Magallanes,,,,,6,225,,,,OCEAN,231
713,8/10/2011 2:00:29 AM,1,11,Wilson Lee BT,,,,,0,211,,,,AIR,211
714,8/10/2011 2:03:10 AM,22,2,Wilson Lee BT,,,,,0,,,,231,AIR,231
717,8/11/2011 6:09:12 AM,1,1,Julio Magallanes,,,,,5,225,,,,OCEAN,230
718,8/11/2011 6:38:08 AM,11,1,,,,,,1,0,,,0,OCEAN,1
722,8/16/2011 5:04:59 AM,1,1,Julio Magallanes,,,,,0,225,,,,OCEAN,225
726,8/16/2011 5:26:05 AM,1,1,Dharmesh Mistry,,,,225,,,,,,OCEAN,225
731,8/16/2011 5:38:08 AM,123,123,Jamshed Sultan,,,,,211,14,,,,OCEAN,225
734,8/16/2011 6:13:45 AM,SDF,SDF,Dharmesh Mistry,,,,225,,,,,,OCEAN,225
735,8/16/2011 7:06:25 AM,123,123,Dharmesh Mistry,,,,225,,,,,,OCEAN,225
736,8/16/2011 7:17:40 AM,123,213,Dharmesh Mistry,,,,225,,,,,,OCEAN,225
738,8/16/2011 7:31:03 AM,001,213,Dharmesh Mistry,,,,225,,,,,,OCEAN,225
741,8/17/2011 1:46:20 AM,ABC,ABC,Julio Magallanes,,,,,0,224,,,,OCEAN,224
744,8/17/2011 9:19:42 AM,1,1,Julio Magallanes,,,,,0,209,,,0,OCEAN,209
745,9/29/2011 9:49:03 PM,SGN,SIN,Cheng Swee Nian,181,,,,,,,,,AIR,181
747,9/30/2011 1:12:21 AM,1,1,,,,,56,,,,,,OCEAN,56
748,9/30/2011 1:51:43 AM,PKG,SIN,Cheng Swee Nian,180,,,,,,,,,OCEAN,180
749,10/4/2011 6:00:14 AM,KUL,AMS,Dharmesh Mistry,,,,176,,,,,,AIR,176
755,10/10/2011 6:56:54 AM,,,Dharmesh Mistry,,,,170,,,,,,OCEAN,170
756,10/12/2011 1:22:19 AM,,1,Wilson Lee BT,,,,,153,,,,,OCEAN,153
757,10/12/2011 3:02:37 AM,,,Cheng Swee Nian,168,,,,,,,,,OCEAN,168
759,10/20/2011 8:28:27 AM,6,10,Dharmesh Mistry,,,,160,,,,,,OCEAN,160
763,10/20/2011 9:08:35 AM,,,Wilson Lee BT,,,,,160,,,,,OCEAN,160
764,10/20/2011 9:10:54 AM,,,Wilson Lee BT,,,,,0,,,,,OCEAN,0
765,10/20/2011 9:19:15 AM,,,Wilson Lee BT,,,,,160,,,,,OCEAN,160
766,10/20/2011 9:20:20 AM,,,Wilson Lee BT,,,,,160,,,,,OCEAN,160
768,10/20/2011 9:23:14 AM,,,Wilson Lee BT,,,,,0,,,,,OCEAN,0
772,11/9/2011 12:32:29 PM,12,121,Dharmesh Mistry,,,,140,,,,,,AIR,140
773,11/9/2011 12:33:50 PM,213,213,Dharmesh Mistry,,,,140,,,,,,AIR,140
774,11/9/2011 5:28:12 PM,Q23,234,Dharmesh Mistry,,,,140,,,,,,AIR,140
776,11/23/2011 12:31:44 PM,123,213,Patricia Pinheiro,,,,,,,,107,,AIR,107
777,11/25/2011 10:54:56 AM,123,213,,,,,0,,,,,,OCEAN,0
778,11/25/2011 1:31:59 PM,123,213,Dharmesh Mistry,,,,124,,,,,,OCEAN,124
779,12/7/2011 5:20:48 PM,123,213,Dharmesh Mistry,,,,112,,,,,,AIR,112
780,12/13/2011 12:32:02 PM,123,124,Dharmesh Mistry,,,,106,,,,,,AIR,106
781,12/13/2011 1:51:49 PM,123,123,Dharmesh Mistry,,,,106,,,,,,AIR,106
782,12/14/2011 11:12:21 AM,123,123,Dharmesh Mistry,,,,105,,,,,,AIR,105
783,12/17/2011 1:04:06 PM,123,123,Dharmesh Mistry,,,,59,,,,,,AIR,59
784,12/27/2011 12:03:02 PM,231,213,Dharmesh Mistry,,,,92,,,,,,AIR,92
785,12/27/2011 12:05:13 PM,235,235,Dharmesh Mistry,,,,92,,,,,,AIR,92
786,12/27/2011 12:23:40 PM,555,213,Dharmesh Mistry,,,,73,,,,,,AIR,73
789,12/1/2011 12:00:00 AM,KUL,KUL,Julio Magallanes,,,,,,89,,,,AIR,89
794,1/30/2012 3:31:32 PM,112,213,Jamshed Sultan,,,,,,44,,,,AIR,44
798,2/14/2012 4:12:39 PM,,,,,,,9,,,,,,OCEAN,9
799,2/15/2012 5:49:45 PM,KUL,123,Jamshed Sultan,,,,0,0,41,,,,AIR,41
803,2/16/2012 5:04:15 PM,,,,,,,7,,,,,,OCEAN,7
804,2/16/2012 5:06:28 PM,,,,,,,7,,,,,,OCEAN,7
806,2/16/2012 6:52:04 PM,,,,,,,7,,,,,,OCEAN,7
807,2/17/2012 12:51:31 PM,,,,,,,6,,,,,,OCEAN,6
810,2/20/2012 4:16:24 PM,VBNB,CVBNC,,,,,3,,,,,,OCEAN,3
811,2/20/2012 5:31:20 PM,,123,,,,,3,,,,,,OCEAN,3
812,2/24/2012 7:34:16 AM,,,,0,,,,,,,,,OCEAN,0
814,3/6/2012 1:02:20 PM,,2,Dharmesh Mistry,,0,,22,,,,,,OCEAN,22
815,3/12/2012 6:12:26 AM,BKK,HKG,Cheng Swee Nian,16,,,,,,,,,OCEAN,16
