Details of Origin - Destination Monthly Request Frequency (AIR)
Origin Airport,Dest Airport,Consignee Name,Service Level,Custom Clearance Mode,Chargeable Weight,Minimum Freight Rate,Freight Rate,Security Rate,Request Date,January,February,March,April,May,June,July,August,September,October,November,December,Total
214,213,213,1,WCC,213,213.00,123.00,213.00,01/30/2012,1,0,0,0,0,0,0,0,0,0,0,0,1
213,213,213,2,WCC,213,123.00,213.00,213.00,01/30/2012,1,0,0,0,0,0,0,0,0,0,0,0,1
112,213,123,1,WCC,231,123.00,123.00,213.00,01/30/2012,1,0,0,0,0,0,0,0,0,0,0,0,1
214,213,213,1,WCC,12,213.00,213.00,213.00,01/30/2012,1,0,0,0,0,0,0,0,0,0,0,0,1
213,213,213,2,WCC,231,213.00,213.00,213.00,01/30/2012,1,0,0,0,0,0,0,0,0,0,0,0,1
123,123,213,1,WCC,123,123.00,213.00,213.00,01/31/2012,1,0,0,0,0,0,0,0,0,0,0,0,1
KUL,123,213123,1,WCC,12,200.00,100.00,100.00,02/15/2012,0,1,0,0,0,0,0,0,0,0,0,0,1
215,MAO,213123,2,WCC,1,100.00,100.00,213.00,02/17/2012,0,1,0,0,0,0,0,0,0,0,0,0,1
214,123,213,4,WOCC,12,200.00,213.00,100.00,02/17/2012,0,1,0,0,0,0,0,0,0,0,0,0,1
123,345,VIMAL,3,WCC,1.2,1200.00,1.20,0.15,02/27/2012,0,1,0,0,0,0,0,0,0,0,0,0,1
